Term	Sample	Enrichment	Bonferroni
Apoptosis	R5	1.3741386299148763	0.16720337749802072
Alzheimer's disease	R5	1.2645447514554076	0.17092014129923294
Epithelial cell signaling in Helicobacter pylori infection	R5	1.4246584324852762	0.18420487708096167
DNA replication	R5	1.6031617349006893	0.18872103328708312
Homologous recombination	R5	1.693135097573687	0.1924923748329972
Ribosome	NSC	1.8954900628503484	2.1871393585115584E-14
Wnt signaling pathway	NSC	1.4653541252079734	7.656646997311611E-6
Neurotrophin signaling pathway	NSC	1.4814079135547433	6.126538728279396E-5
Ubiquitin mediated proteolysis	NSC	1.4017834669734996	0.0013970461249879218
Proteasome	NSC	1.6877161723089824	0.0026605479756440786
Cell cycle	NSC	1.4027586206896552	0.0036018785908458195
TGF-beta signaling pathway	NSC	1.4875997961610328	0.003783293288761147
Colorectal cancer	NSC	1.4910274454609431	0.004756137478298839
Pancreatic cancer	NSC	1.5075944170771758	0.011801334784140138
VEGF signaling pathway	NSC	1.4751231527093598	0.02460880540339594
Pyrimidine metabolism	NSC	1.4062743064557945	0.03794460891109186
DNA replication	NSC	1.681547619047619	0.04443867340228014
p53 signaling pathway	NSC	1.473485946102579	0.05713257159115781
Insulin signaling pathway	NSC	1.3143130815544608	0.09087931065952615
Thyroid cancer	NSC	1.7275352471547476	0.09740869870220148
Epithelial cell signaling in Helicobacter pylori infection	NSC	1.442788322225442	0.13441935881339906
Homologous recombination	NSC	1.7146815622800846	0.1582868314784971
Acute myeloid leukemia	NSC	1.475603023611347	0.16181214805732402
MAPK signaling pathway	NSC	1.1961725798417004	0.25003928471521963
B cell receptor signaling pathway	NSC	1.3916256157635467	0.27409792593640747
